URL,Current Page Title,Title Length,Current Meta Description,Meta Desc Length,Current H1,Current H1-2,Current H2-1,Current H2-2,H1 Count,Crawl Depth,Word Count,InLinks,Status Code,Indexable,Indexability Reason,Flags,Internal Use,New Slug,New Page Title,New Meta Description,New H1,Notes,Updated & Submitted
https://custommilestones.com/,Custom Milestones | Personalized Recovery & Sobriety Gift Coins,63,"Give someone you love a custom-engraved coin that marks their recovery milestone — handcrafted, made to keep forever, and arriving ready to give in a premium gift box.",167,Mark their journey,,Made for the moments that matter most,The Sunflower Token,1,0,1237,163,200,Indexable,,META LEN 167 (want 120-158),,,,,,,
https://custommilestones.com/aa-sobriety-coins,AA Sobriety Coins — Premium Handcrafted AA Chips | Custom Milestones,68,Shop premium AA sobriety coins for every milestone. Handcrafted coins in the traditional AA color system. Design your own for a truly personal touch.,149,AA Sobriety Coins,,What Are AA Sobriety Coins?,Can't find exactly what you want? Create your own.,1,1,1265,147,200,Indexable,,,,,,,,,
https://custommilestones.com/about/testimonials,Testimonials — Custom Milestones,32,Hear from members of our community about how recovery tokens have become meaningful companions on their sobriety journey.,121,Words From Our Community,,Share Your Recovery Journey,,1,1,518,147,200,Indexable,,,,,,,,,
https://custommilestones.com/about/our-story,Our Story — Custom Milestones,29,"Discover our mission to create premium, handcrafted recovery tokens that honor sobriety milestones. Learn about our values, our beginning, and what sets us apart.",162,"Built on Purpose, Crafted with Care",,Our Values,Our Beginning,1,1,556,147,200,Indexable,,META LEN 162 (want 120-158),,,,,,,
https://custommilestones.com/about,About Us — Custom Milestones,28,"Learn about our mission, discover why recovery tokens matter, and hear stories from our community. Premium tokens celebrating sobriety milestones.",146,Our Mission & Story,,Our Story,Why Tokens Matter,1,1,316,147,200,Indexable,,,,,,,,,
https://custommilestones.com/about/why-tokens-matter,Why Tokens Matter — Custom Milestones,37,Discover the psychology and tradition behind recovery tokens. Learn why physical symbols help anchor abstract achievements and support long-term sobriety.,154,Why Tokens Matter,,Why Physical Objects Anchor Abstract Achievements,A History Rooted in Community,1,1,654,147,200,Indexable,,,,,,,,,
https://custommilestones.com/blogs,Blog | Custom Milestones,24,"Stories, guides, and insights about recovery milestones and the journey of sobriety.",84,Blogs,,News,,1,1,184,147,200,Indexable,,META LEN 84 (want 120-158); THIN (184w),,,,,,,
https://custommilestones.com/collections,Collections | Custom Milestones,31,Browse our curated collections of premium recovery tokens for every milestone.,78,Collections,,,,1,1,190,147,200,Indexable,,META LEN 78 (want 120-158); THIN (190w),,,,,,,
https://custommilestones.com/collections/all,All Products | Custom Milestones,32,Browse our full collection of premium recovery tokens celebrating sobriety milestones.,86,All Products,,Don't see your milestone?,,1,1,262,147,200,Indexable,,META LEN 86 (want 120-158); THIN (262w),,,,,,,
https://custommilestones.com/collections/classic,Classic Collection | Custom Milestones,38,Premium hand-crafted recovery tokens celebrating sobriety milestones.,69,Classic,,,,1,1,214,147,200,Indexable,,META LEN 69 (want 120-158); THIN (214w),,,,,,,
